source,model,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision,brier_score,log_loss,ece_10_bin,predicted_positive_rate,correct
amazon,tfidf_logistic_regression,0.8578680203045685,0.8579158936301794,0.8579896907216495,0.8579158936301794,0.8578643578643579,0.9149659863945578,0.9088242202538283,0.14070186363272336,0.44945433349491043,0.16536293885736986,0.5076142131979695,169
amazon,pytorch_textcnn,0.7461928934010152,0.7464955679241394,0.7498955067920585,0.7464955679241394,0.7453990901571547,0.844877344877345,0.8403110993850663,0.16189921190039971,0.49071693000757666,0.07707706953252329,0.5583756345177665,147
amazon,distilbert,0.9137055837563451,0.9137806637806638,0.9140367161716172,0.9137806637806638,0.9136966885710605,0.9601113172541744,0.9322032630077864,0.06492546124168617,0.2624027880624097,0.061754294645116836,0.5126903553299492,180
imdb,tfidf_logistic_regression,0.795,0.7949999999999999,0.7957393483709273,0.7949999999999999,0.7948717948717949,0.8722,0.8646557209529568,0.1641007705994093,0.5063059261701396,0.12995800361883486,0.525,159
imdb,pytorch_textcnn,0.675,0.675,0.675017501750175,0.675,0.67499187479687,0.742,0.7213398607660595,0.2079160723669564,0.606955728264684,0.07221827435307207,0.495,135
imdb,distilbert,0.92,0.92,0.9201680672268908,0.92,0.91999199919992,0.9677,0.9742371190590269,0.07096589204561936,0.2670373505767968,0.06171109793242065,0.49,184
yelp,tfidf_logistic_regression,0.8894472361809045,0.8895959595959596,0.8907801418439716,0.8895959595959596,0.8893774004447139,0.9390909090909091,0.9497743815880416,0.13035384456348412,0.4297271637160168,0.19659577359814606,0.4723618090452261,177
yelp,pytorch_textcnn,0.7286432160804021,0.728939393939394,0.7320331695331695,0.728939393939394,0.7278115501519757,0.811010101010101,0.8187369334823509,0.17891043892930616,0.5268991773907998,0.06015982251408413,0.44221105527638194,145
yelp,distilbert,0.9346733668341709,0.9345454545454546,0.9358662613981763,0.9345454545454546,0.9346139264501454,0.9868686868686869,0.9882838246294218,0.04798653979779853,0.16789257660738865,0.04229892941949956,0.5276381909547738,186
